Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
You Are a Writer (So Start Acting Like One),Jeff Goins,"",0990378500,digital,read,2023/12/19,2024/01/19,2024/01/17-2024/01/19,1,informative,fast,,,,,,2.75,"<div>Informative, yet rushed as a result of its terseness.</div>","","","",No
The Man in the High Castle,Philip K. Dick,"",9780547601205,digital,to-read,2024/01/04,"","",0,"",,,,,,,,,"",,"",Yes
"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,"",9780735243354,digital,to-read,2023/05/24,"","",0,"",,,,,,,,,"",,"",Yes
Deep Work: Rules for Focused Success in a Distracted World,Cal Newport,"",9781455586691,hardcover,to-read,2023/01/08,"","",0,"",,,,,,,,,"",,"",No
"The Willpower Instinct: How Self-Control Works, Why It Matters, and What You Can Do to Get More of It",Kelly McGonigal,"",9781583334386,hardcover,to-read,2023/01/01,"","",0,"",,,,,,,,,"",,"",No
How to Raise a Reader,"Pamela Paul, Maria Russo","Lisk Feng (Illustrator), Vera Brosgol (Illustrator), Monica Garwood (Illustrator), Dan Yaccarino (Illustrator)",9781523505302,hardcover,did-not-finish,2023/05/12,"","",0,"",,,,,,,,,"",,"",Yes
The Tipping Point,Malcolm Gladwell,"",9780316346627,paperback,to-read,2022/12/29,"","",0,"",,,,,,,,,"",,"",No
On Inequality,Harry G. Frankfurt,"",9780691167145,hardcover,to-read,2023/03/18,"","",0,"",,,,,,,,,"",,"",No
Kierkegaard: Fear and Trembling,Søren Kierkegaard,"Sylvia Walsh (Translator), C. Stephen Evans (Contributor)",9780521612692,paperback,paused,2025/07/16,"","",0,"",,,,,,,,,"",,"",No
Exactly What to Say: The Magic Words for Influence and Impact,Phil M. Jones,"",9780692881958,paperback,to-read,2022/12/29,"","",0,"",,,,,,,,,"",,"",No
How Leadership (Actually) Works: A Navy SEAL's Complete System for Coordinating Teams,Larry Yatch,"",B09WF2KPPG,,to-read,2023/01/06,"","",0,"",,,,,,,,,"",,"",No
"The Coaching Habit: Say Less, Ask More & Change the Way You Lead Forever",Michael Bungay Stanier,"","",hardcover,to-read,2023/01/18,"","",0,"",,,,,,,,,"",,"",No
"The Advice Trap: Be Humble, Stay Curious & Change the Way You Lead Forever",Michael Bungay Stanier,"",9781989025758,paperback,to-read,2023/01/18,"","",0,"",,,,,,,,,"",,"",No
"The First 90 Days, Updated and Expanded: Proven Strategies for Getting Up to Speed Faster and Smarter",Michael D. Watkins,"",9781422188613,hardcover,to-read,2024/01/17,"","",0,"",,,,,,,,,"",,"",No
Accelerate: Building and Scaling High Performing Technology Organizations,"Jez Humble, Gene Kim, Nicole Forsgren","",9781942788331,paperback,to-read,2022/09/28,"","",0,"",,,,,,,,,"",,"",No
Hell Yeah or No: What's Worth Doing,Derek Sivers,"","",digital,to-read,2023/01/23,"","",0,"",,,,,,,,,"",,"",No
The Promises of Giants,John Amaechi,"",9781529345872,hardcover,to-read,2023/02/17,"","",0,"",,,,,,,,,"",,"",No
James and the Giant Peach,Roald Dahl,Quentin Blake (Illustrator),9781101653005,digital,read,2023/06/04,2023/06/19,2023/06/03-2023/06/19,1,"adventurous, funny, hopeful, inspiring, lighthearted",fast,Character,Yes,Yes,Yes,No,3.75,,"","",read-to-lola,No
The Metamorphosis,Franz Kafka,Stanley Corngold (Translator),9780553213690,paperback,read,2024/01/20,2024/10/10,2024/10/05-2024/10/10,1,"challenging, dark, reflective, sad",medium,Character,It's complicated,It's complicated,No,It's complicated,5.0,"","","","",Yes
Aristotle: A Very Short Introduction,Jonathan Barnes,"",9780192854087,paperback,to-read,2022/09/28,"","",0,"",,,,,,,,,"",,"",No
"Digital Zettelkasten: Principles, Methods, & Examples",David Kadavy,"",9780578928098,paperback,to-read,2023/01/07,"","",0,"",,,,,,,,,"",,"",No
"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",Bessel van der Kolk,"","",digital,to-read,2023/05/24,"","",0,"",,,,,,,,,"",,"",No
The Human Condition,Hannah Arendt,Margaret Canovan (Contributor),9780226025988,paperback,to-read,2025/06/23,"","",0,"",,,,,,,,,"",,"",No
Four Thousand Weeks: Time Management for Mortals,Oliver Burkeman,"",9780374715243,digital,read,2023/01/08,2023/01/16,2023/01/16,1,"",,,,,,,4.0,,"",,"",Yes
Good to Great: Why Some Companies Make the Leap...and Others Don't,Jim Collins,"",9780066620992,hardcover,to-read,2023/01/16,"","",0,"",,,,,,,,,"",,"",No
Midlife: A Philosophical Guide,Kieran Setiya,"",9780691173931,hardcover,to-read,2023/01/16,"","",0,"",,,,,,,,,"",,"",No
"The $100 Startup: Reinvent the Way You Make a Living, Do What You Love, and Create a New Future",Chris Guillebeau,"",9780307951540,digital,to-read,2022/12/29,"","",0,"",,,,,,,,,"",,"",No
The Debt Consolidation Myth: A Proven Method to Help You Get Out of Debt While Still Living Your Life,Jesse Mecham,"",,digital,read,2023/06/25,2023/06/25,2023/06/25-2023/06/25,1,"",,,,,,,2.75,,"","","",Yes
Chapterhouse: Dune,Frank Herbert,"",9780593098271,paperback,paused,2023/05/21,"","",0,"",,,,,,,,,"",,"",Yes
A Tale of Magic...,Chris Colfer,"",9780316426336,paperback,read,2023/10/01,2024/01/11,2023/10/01-2024/01/11,1,"adventurous, hopeful, informative, inspiring, reflective",medium,A mix,Yes,Yes,Yes,No,4.0,"","","",read-to-lola,Yes
Black Beauty,Anna Sewell,Scott McKowen (Illustrator),9781402714528,hardcover,did-not-finish,2022/09/28,"","",0,"",,,,,,,,,"",,"",No
The School of Life: On Self-Hatred: Learning to like oneself,The School of Life,"",B0B9BRCTRW,digital,to-read,2023/08/30,"","",0,"",,,,,,,,,"",,"",No
No Rules Rules: Netflix and the Culture of Reinvention,"Erin Meyer, Reed Hastings","",9781984877864,hardcover,to-read,2022/09/28,"","",0,"",,,,,,,,,"",,"",No
Dog Man,Dav Pilkey,Dav Pilkey (Illustrator),9780545581608,hardcover,read,2023/06/25,2023/09/02,2023/06/21-2023/09/02,1,"",,,,,,,,,"",,read-to-lola,Yes
The Tartar Steppe,Dino Buzzati,"",9781847677570,digital,currently-reading,2025/08/08,"","",0,"",,,,,,,,,"",,"",No
"13 Things Mentally Strong People Don't Do: Take Back Your Power, Embrace Change, Face Your Fears, and Train Your Brain for Happiness and Success",Amy Morin,"",9780062391544,hardcover,did-not-finish,2025/04/11,"","",0,"",,,,,,,,,"",,"",No
Plato: A Very Short Introduction,Julia Annas,"",9780192802163,paperback,to-read,2022/09/28,"","",0,"",,,,,,,,,"",,"",No
Radical Candor: Be a Kick-Ass Boss Without Losing Your Humanity,Kim Malone Scott,"",9781250235374,hardcover,read,2022/09/28,"","",1,"",,,,,,,,,"",,"",No
